[854] ['6', '21', '21', '27', '27'] -> ((21 / ((27 / 27) + 6)) + 21)
[855] ['6', '21', '22', '22', '28'] -> (6 / ((22 / 22) - (21 / 28)))
[859] ['6', '25', '25', '29', '29'] -> (29 - (((25 / 25) + 29) / 6))
[860] ['6', '21', '22', '27', '28'] -> (27 - (22 / ((28 / 21) + 6)))
[864] ['7', '7', '7', '16', '21'] -> (16 / ((7 / 7) - (7 / 21)))
[865] ['7', '7', '7', '16', '22'] -> ((16 / ((7 / 7) + 7)) + 22)
[866] ['7', '7', '7', '16', '26'] -> (26 - (16 / ((7 / 7) + 7)))
[871] ['7', '7', '8', '27', '27'] -> (27 - (27 / ((7 / 7) + 8)))
[875] ['7', '7', '8', '17', '27'] -> (27 / ((17 / 8) - (7 / 7)))
[876] ['7', '7', '8', '20', '30'] -> (8 / ((7 / 7) - (20 / 30)))
[879] ['7', '7', '14', '14', '16'] -> (((14 / 7) - (7 / 14)) * 16)
[880] ['7', '7', '14', '16', '16'] -> (((16 / 14) + (16 / 7)) * 7)
[882] ['7', '7', '12', '23', '23'] -> (((23 / 23) + (7 / 7)) * 12)
[883] ['7', '7', '12', '27', '27'] -> (((27 / 27) + (7 / 7)) * 12)
[884] ['7', '7', '12', '29', '29'] -> (((29 / 29) + (7 / 7)) * 12)
[886] ['7', '7', '12', '19', '19'] -> (((19 / 19) + (7 / 7)) * 12)
[890] ['7', '7', '14', '27', '27'] -> (27 - (27 / ((14 / 7) + 7)))
[911] ['7', '7', '15', '21', '23'] -> (((23 / 7) - (15 / 7)) * 21)
[927] ['7', '8', '14', '25', '25'] -> (((14 / 7) + (25 / 25)) * 8)
[934] ['7', '8', '17', '17', '28'] -> (((28 / 7) - (17 / 17)) * 8)
[935] ['7', '8', '14', '30', '30'] -> (((14 / 7) + (30 / 30)) * 8)
[936] ['7', '8', '15', '15', '28'] -> (((28 / 7) - (15 / 15)) * 8)
[937] ['7', '9', '9', '14', '19'] -> (((19 / 7) - (9 / 9)) * 14)
[938] ['7', '9', '9', '28', '30'] -> (30 / ((7 / 28) + (9 / 9)))
[944] ['7', '8', '27', '27', '28'] -> (((28 / 7) - (27 / 27)) * 8)
[945] ['7', '8', '28', '29', '29'] -> (((28 / 7) - (29 / 29)) * 8)
[957] ['7', '10', '15', '15', '29'] -> (((29 / 15) + (7 / 15)) * 10)
[960] ['7', '10', '14', '21', '30'] -> (((21 / 14) - (7 / 10)) * 30)
[962] ['7', '10', '18', '20', '27'] -> (((10 / 20) + (7 / 18)) * 27)
[965] ['7', '11', '11', '13', '13'] -> (((13 * 13) - (11 / 11)) / 7)
[970] ['7', '11', '11', '28', '30'] -> (30 / ((11 / 11) + (7 / 28)))
